Req. No. | requirement | subject | s-tag | s-ner | s-type | verb | v-tag | vcat | vprocess | object | o-tag | o-ner | o-type | label 
0|The SCM System shall allow the Coordinator to manage requests.|SCM System|NNP|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
0|The SCM System shall allow the Coordinator to manage requests.|coordinator|NN|O|person|manage|VBP|0|0|request|NN|O|communication|-1
1|The SCM system shall allow the Coordinator to add requests.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
1|The SCM system shall allow the Coordinator to add requests.|coordinator|NN|O|person|add|VB|0|1|request|NN|O|communication|-1
2|The SCM system shall allow the Coordinator to send the new request to Supplier.|coordinator|NN|O|person|send request to|TO|1|0|Supplier|NNP|O|person|-1
2|The SCM system shall allow the Coordinator to send the new request to Supplier.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
2|The SCM system shall allow the Coordinator to send the new request to Supplier.|coordinator|NN|O|person|send|VB|1|0|request|NN|O|communication|-1
2|The SCM system shall allow the Coordinator to send the new request to Supplier.|coordinator|NN|O|person|send|VB|1|0|new request|NN|O|communication|-1
3|The SCM system shall allow the Coordinator to view requests.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
3|The SCM system shall allow the Coordinator to view requests.|coordinator|NN|O|person|view|NN|1|0|request|NN|O|communication|-1
4|The SCM system shall allow the Coordinator to view requests from Customer.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
4|The SCM system shall allow the Coordinator to view requests from Customer.|coordinator|NN|O|person|view|NN|1|0|request|NN|O|communication|-1
4|The SCM system shall allow the Coordinator to view requests from Customer.|coordinator|NN|O|person|view|NN|1|0|request from customer|NN|O|communication|-1
5|The SCM system shall allow the Coordinator to view requests sent to the Suppliers.|coordinator|NN|O|person|view|NN|1|0|request send|VBP|O|communication|-1
5|The SCM system shall allow the Coordinator to view requests sent to the Suppliers.|request|NN|O|communication|send to|TO|1|0|supplier|NN|O|person|-1
5|The SCM system shall allow the Coordinator to view requests sent to the Suppliers.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
5|The SCM system shall allow the Coordinator to view requests sent to the Suppliers.|coordinator|NN|O|person|view|NN|1|0|request|NN|O|communication|-1
5|The SCM system shall allow the Coordinator to view requests sent to the Suppliers.|coordinator|NN|O|person|view|NN|1|0|request send to supplier|NN|O|communication|-1
6|The SCM system shall allow the Coordinator to view details of particular request.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
6|The SCM system shall allow the Coordinator to view details of particular request.|coordinator|NN|O|person|view|NN|1|0|detail|NN|O|cognition|-1
6|The SCM system shall allow the Coordinator to view details of particular request.|coordinator|NN|O|person|view|NN|1|0|detail of particular request|NN|O|cognition|-1
6|The SCM system shall allow the Coordinator to view details of particular request.|coordinator|NN|O|person|view|NN|1|0|detail of request|NN|O|cognition|-1
7|The SCM system shall allow the Coordinator to edit requests.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
7|The SCM system shall allow the Coordinator to edit requests.|coordinator|NN|O|person|edit|VB|1|0|request|NN|O|communication|-1
8|The SCM system shall allow the Coordinator to send notification to the Supplier after editing a request.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
8|The SCM system shall allow the Coordinator to send notification to the Supplier after editing a request.|coordinator|NN|O|person|send|VB|1|0|notification|NN|O|act|-1
8|The SCM system shall allow the Coordinator to send notification to the Supplier after editing a request.|coordinator|NN|O|person|send notification after|IN|1|0|editing|NN|O|communication|-1
8|The SCM system shall allow the Coordinator to send notification to the Supplier after editing a request.|coordinator|NN|O|person|send notification to|TO|1|0|supplier|NN|O|person|-1
9|The SCM system shall allow the Coordinator to delete requests.|coordinator|NN|O|person|delete|VB|1|1|request|NN|O|communication|-1
9|The SCM system shall allow the Coordinator to delete requests.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
10|The SCM system shall allow the Coordinator to send notification to the Supplier after deleting a request.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
10|The SCM system shall allow the Coordinator to send notification to the Supplier after deleting a request.|coordinator|NN|O|person|send|VB|1|0|notification|NN|O|act|-1
10|The SCM system shall allow the Coordinator to send notification to the Supplier after deleting a request.|coordinator|NN|O|person|send notification to|TO|1|0|supplier|NN|O|person|-1
11|The SCM System shall allow the Coordinator to manage items.|coordinator|NN|O|person|manage|VBP|0|0|item|NN|O|communication|-1
11|The SCM System shall allow the Coordinator to manage items.|SCM System|NNP|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
12|The SCM system shall allow the Coordinator to add items.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
12|The SCM system shall allow the Coordinator to add items.|coordinator|NN|O|person|add|VB|0|1|item|NN|O|communication|-1
13|The SCM system shall allow the Coordinator to view all items.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
13|The SCM system shall allow the Coordinator to view all items.|coordinator|NN|O|person|view|NN|1|0|item|NN|O|communication|-1
14|The SCM system shall allow the Coordinator to view details of a particular item.|coordinator|NN|O|person|view|NN|1|0|detail of particular item|NN|O|cognition|-1
14|The SCM system shall allow the Coordinator to view details of a particular item.|coordinator|NN|O|person|view|NN|1|0|detail of item|NN|O|cognition|-1
14|The SCM system shall allow the Coordinator to view details of a particular item.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
14|The SCM system shall allow the Coordinator to view details of a particular item.|coordinator|NN|O|person|view|NN|1|0|detail|NN|O|cognition|-1
15|The SCM system shall allow the Coordinator to edit items.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
15|The SCM system shall allow the Coordinator to edit items.|coordinator|NN|O|person|edit|VB|1|0|item|NN|O|communication|-1
16|The SCM system shall allow the Coordinator to send notification to the Supplier or Customer after editing an item.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
16|The SCM system shall allow the Coordinator to send notification to the Supplier or Customer after editing an item.|coordinator|NN|O|person|send|VB|1|0|notification|NN|O|act|-1
16|The SCM system shall allow the Coordinator to send notification to the Supplier or Customer after editing an item.|coordinator|NN|O|person|send notification after|IN|1|0|editing|NN|O|communication|-1
16|The SCM system shall allow the Coordinator to send notification to the Supplier or Customer after editing an item.|coordinator|NN|O|person|send notification to|TO|1|0|supplier|NN|O|person|-1
17|The SCM system shall allow the Coordinator to delete items.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
17|The SCM system shall allow the Coordinator to delete items.|coordinator|NN|O|person|delete|VB|1|1|item|NN|O|communication|-1
18|The SCM System shall allow the Coordinator to manage location of resources.|coordinator|NN|O|person|manage|VBP|0|0|location of resource|NN|O|Tops|-1
18|The SCM System shall allow the Coordinator to manage location of resources.|SCM System|NNP|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
18|The SCM System shall allow the Coordinator to manage location of resources.|coordinator|NN|O|person|manage|VBP|0|0|location|NN|O|Tops|-1
19|The SCM system shall allow the Coordinator to add resource locations.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
19|The SCM system shall allow the Coordinator to add resource locations.|coordinator|NN|O|person|add|VB|0|1|resource location|NN|O|possession|-1
20|The SCM system shall allow the Coordinator to view all resource locations.|coordinator|NN|O|person|view|NN|1|0|resource location|NN|O|possession|-1
20|The SCM system shall allow the Coordinator to view all resource locations.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
21|The SCM system shall allow the Coordinator to edit resource locations.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
21|The SCM system shall allow the Coordinator to edit resource locations.|coordinator|NN|O|person|edit|NN|1|0|resource location|NN|O|possession|-1
22|The SCM system shall allow the Coordinator to view details of particular resource location.|SCM system|NN|O|group|shall allow|VB|1|0|coordinator|NN|O|person|-1
22|The SCM system shall allow the Coordinator to view details of particular resource location.|coordinator|NN|O|person|view|NN|1|0|detail of resource location|NN|O|cognition|-1
