@relation feature_vector

@attribute Subject {system,it,data,sharing,program,agreements,standards,Resources,A-130,Standards,providers,maintenance,personnel,community,management,provider,CDN,product,remove,peering,crowds,replication,research,Peering,condition,increases,relationships,instance,PA,System,protocols,information,CDNs,functions,s,host,policies,ensures,delegation,conjunction,terms,algorithms,Mediator,resources,entities,arrangement,rols,content,decision,traffic,Registry,servers,access,Repository,Agent,requirements,negotiations,distribution,redirection,assignment,â,Server,registry,transmission,vessel,acknowledgement,provide,fishing,solution,header,ERS,file,documents,other,methods,Master,report,corrections,messages,facilities,deletions,message,communications,facility,BE,Frames,network,accumulation,recirculation,This,processes,Fourier,Transform,process,amount,GUI,operator,screen,users,RLCS,levels,software,change,rate,status,command,user,computers,checked,alarms,more,verification,logs,computer,ID,DCUs,pressure,Temperature,Voltages,alarm,device,log,Track,units,Log,Operation,sequence,password,stamp,way,values,Administrator,changes,reports,function,control,TCS,Software,application,hardware,power,causing,display,using,indicate,fault,AV,plan,provides,game,question,story,questions,reply,Ability,people,calendars,files,admin,accounts/addresses,print,retention,requests,agencies,backup,e-mail,Update,diligence,maintain,elements,Services,Authority,Department,systems,Provider,Personnel,date,Activation,field,LRN,validate,Block,SPID,modification,version,Indicator,Versions,input,authorization,Code,Version,interface,instruments,Settlement,majority,activity,participants,Market,costs,creating,trading,practices,procedures,integrity,environment,ISIN,purposes,MMF,JSE,immediacy,ISINs,interaction,STRATE,Issuance,Model,components,component,Participants,department,ANNA,ISO,rules,arrangements,MMI,Discount,bought,Yield,coupon,value,home,center,temperature,thermostats}
@attribute S-TAG {NN,PRP,NNS,VBG,NNP,NNPS,VB,VBZ,VBP,JJ,DT,VBN,JJR}
@attribute S-NER {O,TITLE,ORGANIZATION,MISC,STATE_OR_PROVINCE,PERSON}
@attribute S-Type {'abstract entity',null,'physical entity'}
@attribute Verb {use,for,have,shall,mitigate,from,publish,collects,at,prioritize,support,becoming,within,collect,complete,to,handle,accept,with,establish,sharing,maintain,provide,define,accommodate,test,operate,in,of,null,about,â,peering,CDN,remove,enabling,allow,on,determining,be,requires,share,allows,through,achieve,consider,specify,identifies,passes,discover,performs,predicting,configure,participating,regarding,enables,exchange,do,improving,decrease,reduce,is,initiates,In,ensures,under,are,perform,between,as,generates,encapsulates,discovering,register,supplies,provides,establishing,acquire,by,using,assist,serving,disseminating,publishes,registers,capture,request,match,generate,facilitate,Generate,logsheet,declaration,providing,via,transmit,than,permit,must,containing,receive,been,transmissions,send,notify,verify,guarantee,received,against,assemble,into,contains,along,replace,apply,adjustments,make,prior,will,should,Transform,display,acknowledge,include,change,process,monitor,update,control,check,abort,indicate,indicates,outside,opening,operator,present,has,determine,override,Failed,Initialize,reading,identify,proceed,initialize,contain,Schedule,execute,fails,can,resume,issue,command,sequence,employ,hash,testing,upload,controlling,Upon,enter,was,upon,During,inform,attempts,recording,impacting,conduct,storing,minimum,retrieve,compute,analyze,skip,receives,selects,follow,click,chooses,displays,give,choose,user,diect,wait,makes,opens,inbox,migrate,admin,folders,create,customize,meet,select,search,From,move,dispose,recover,restore,Delete,fulfill,integrate,data,log,download,default,receiving,modify,supports,add,delete,query,reject,suppress,require,Create,set,re-send,value,view,see,message,being,leave,registered,improve,creating,approved,automatically,estimates,distinguish,requested,like,would,represent,develop,by/to,To,identified,fixed,communication,throughout}
@attribute V-TAG {VB,IN,MD,VBZ,VBG,TO,NN,null,VBP,VBN,NNS,RB,VBD}
@attribute V-CAT {transitive,null,intransitive}
@attribute V-Process {N,Y,null}
@attribute Object {longitude,timestamps,minimum,administrator,able,attacks,shutdown,data,it,rate,handling,observations,available,sources,minutes,them,receipt,seconds,check,request,minute,information,requests,users,operations,environment,tools,support,service,staff,methods,criteria,rules,standards,documentation,system,technologies,contributions,delivery,Plan,A-130,Resources,requirements,Management,outlined,Institute,NIST,Standards,B,providers,network,metadata,restrictions,communications,access,€,assists,CDNs,resources,CDN,peering,internetworking,need,demand,â,compensation,participants,undertaken,research,s,scale/reach,sharing,increases,entities,administration,interactions,relationships,coordination,activities,roles,PA,peers,process,performance,protocols,participating,availability,validation,load,cost,server,replicates,event,trigger,hotspot,content,end-users,host,permitted,policies,agent,mediator,SLA-allocator,enforced,caching,selection,serversâ,servers,basis,PA.,conjunction,established,there,replicated,taken,redirected,resource,details,created,arrangement,administer,set,module,negotiations,PAs,used,conduit,approach,others,performed,DNS,clusters,cluster,levels,gateways,SR.,provider,validated,transmission,vessel,times,transmitted,message,acknowledged,operation,delete,record/report,transmissions,acknowledgement,Receipt,entry,logbook,screens,features,dates,other,populated,printer,file,means,required,Logbook,copies,country,transport,act,logsheet,declaration,Cod,returns,copy,email,string,contents,header,attribute,of,suffix,encrypted,PGP,Master,type,capture,corrections,items,interface,identifiable,trip,submission,messages,report,voyage,reports,up,generated,End,sent,deletions,deletion,operational,establish,facility,use,supplied,Correlator,e2e,output,frames,packets,part,System,statistics,tolerances,all,accumulation,comparison,changes,series,sets,ordered,values,extent,invalids,counts,normalizations,count,based,mode,adjustments,mitigation,processes,constructed,lag,input,any,piped,self,parameter,obtained,M&C,window,operator,alarm,screen,user,status,sensors,RLCS,database,elements,state,integrity,controllers,stored,level,unknown,devices,computers,updated,met,failure,units,changed,thresholds,limits,cabinets,occurs,actions,security,proceed,sequence,device,Requests,Status,Devices,identified,id,field,unit,make,sure,tables,designed,time,automatically,warning,events,Log,sequences,GUI,halted,corrected,memory,period,opening,command,occurred,resume,format,password,function,characters,verification,version,exported,Predator,capable,AVs,payload,control,configurations,necessary,capabilities,power,application,State,Mode,terminated,interruption,startup,attempts,result,interaction,execute,launched,functionality,modes,determination,Detection,condition,removed,placed,allow,functions,plan,received,interfaces,processing,plans,retrieval,names,redundancy,capability,import,links,number,viewing,discretion,validity,range,selected,uplink,area,return,flight,movie,clik,component,link,button,click,begin,page,answer,answers,question,directions,points,plot,correctly,answered,questions,proceeded,score,conclusion,story,related,exit,chance,selects,menus,pages,progress,context,complete,sense,send,product,folders,migrate,agency,organization,people,aid,lists,views,applications,embedded,testing,e-mails,e-mail,accessed,accounts/addresses,intervals,archive,attachments,retention,separate,regulations,results,Date,Subject,search,production,read,location,storage,policy,records,needed,logs,services,ActiveSync,accounts,certified,case,markings,trail,discovery,subscriptions,systems,experience,fields,corresponding,Proof,Concept,Feedback,Snow,SMART,Transit,DDOT,fleet,fleetsä,fleets,Commission,County,RWIS,Department,Weather,D,enumerated,Origin,Center,WMTMS,Corporationä,Highways,TMS,TMC,transactions,sub-directory,Provider,FALSE,Indicator,indicate,Administrator,record,Representation,Interface,Personnel,SOA,NPA-NXX,date,equal,greater,SMS,Filters,downloads,download,Information,Origination,execution,Creation,Date/Time,Activation,value,scheduling,LRN,re-scheduling,a,NPAC,initiated,Event,re-schedule,Create,Block,mechanism,valid,options,days,NPA-NXX-X,personnel,Modification,Deletion,List,updates,Active,broadcasts,validations,Timestamp,completion,broadcast,modification,modified,creation,notification,re-sends,determine,re-send,Blocks,Versions,associated,list,ID,see,modify,fails,deleted,are,affected,Version,subscription,months,tunable,hour,Code,intact,conflict,timestamp,Mashbot,bar,day,traded-settled,gross,seller-buyer,physical,market,issuer-buyer,banks,practices,risks,Market,liquidity,instruments,tradability,costs,trading,benefit,marketability,DvP,known,issued,electronically,clearing,sale-delivery,securities,purposes,SAFIRES,methodology,CSDPs,protocol,SWIFT,User,MMF,JSE,approval,NMPG,respectively,finalisation,ISINs,ISIN,response,immediacy,issuance,settlement,essential,requirement,ZAE,prefix,ZAM,bonds,ZAG,agreed,STRATE,perspective,limited,2004,implemented,capacity,participation,adaptation,NNA,Model,incorporated,Engine,program,request-notification,identification,regarding,notes,provided,SLA,Agreement,BCP,categories,bought,discount,term,maturity,repayable,payable,instrument,call,maturing,temperature,computer,web,DH,called,controllers-sensors,equipped,communication,read-saved,phone,PDA,rooms,home,spaces,controlled}
@attribute O-TAG {NN,NNS,JJ,PRP,VBG,NNP,VBN,NNPS,$,VBZ,VB,RB,IN,DT,VBD,JJR,VBP,CD}
@attribute O-NER {O,TITLE,CAUSE_OF_DEATH,DURATION,ORGANIZATION,MONEY,MISC,STATE_OR_PROVINCE,DATE,LOCATION,PERSON}
@attribute O-Type {'abstract entity',null,'physical entity'}
@attribute Label {true,false}

@data
system,NN,O,'abstract entity',use,VB,transitive,N,longitude,NN,O,'abstract entity',false
system,NN,O,'abstract entity',for,IN,null,N,timestamps,NNS,O,null,false
system,NN,TITLE,'abstract entity',have,VB,transitive,N,minimum,NN,O,'abstract entity',false
system,NN,TITLE,'abstract entity',have,VB,transitive,N,administrator,NN,TITLE,'physical entity',false
system,NN,O,'abstract entity',shall,MD,null,N,able,JJ,O,null,false
system,NN,O,'abstract entity',mitigate,VB,transitive,Y,attacks,NNS,CAUSE_OF_DEATH,'abstract entity',true
system,NN,O,'abstract entity',mitigate,VB,transitive,Y,attacks,NNS,CAUSE_OF_DEATH,'abstract entity',true
system,NN,O,'abstract entity',from,IN,null,N,shutdown,NN,O,'abstract entity',false
system,NN,O,'abstract entity',from,IN,null,N,shutdown,NN,O,'abstract entity',false
system,NN,O,'abstract entity',shall,MD,null,N,able,JJ,O,null,false
system,NN,O,'abstract entity',from,IN,null,N,shutdown,NN,O,'abstract entity',false
system,NN,O,'abstract entity',from,IN,null,N,shutdown,NN,O,'abstract entity',false
system,NN,O,'abstract entity',shall,MD,null,N,able,JJ,O,null,false
system,NN,O,'abstract entity',publish,VB,transitive,Y,data,NNS,O,'abstract entity',true
system,NN,O,'abstract entity',shall,MD,null,N,able,JJ,O,null,false
it,PRP,O,'abstract entity',collects,VBZ,transitive,Y,it,PRP,O,'abstract entity',false
system,NN,O,'abstract entity',at,IN,null,N,rate,NN,O,'abstract entity',false
system,NN,O,'abstract entity',publish,VB,transitive,Y,data,NNS,O,'abstract entity',true
system,NN,O,'abstract entity',shall,MD,null,N,able,JJ,O,null,false
system,NN,O,'abstract entity',prioritize,VB,transitive,N,data,NNS,O,'abstract entity',false
system,NN,O,'abstract entity',prioritize,VB,transitive,N,data,NNS,O,'abstract entity',false
system,NN,O,'abstract entity',prioritize,VB,transitive,N,handling,VBG,O,'abstract entity',false
system,NN,O,'abstract entity',prioritize,VB,transitive,N,data,NNS,O,'abstract entity',false
system,NN,O,'abstract entity',support,VB,transitive,N,observations,NNS,O,'abstract entity',false
system,NN,O,'abstract entity',support,VB,transitive,N,observations,NNS,O,'abstract entity',false
data,NNS,O,'abstract entity',becoming,VBG,intransitive,N,available,JJ,O,null,false
system,NN,O,'abstract entity',from,IN,null,N,sources,NNS,O,'physical entity',false
system,NN,O,'abstract entity',within,IN,null,N,minutes,NNS,DURATION,'abstract entity',false
system,NN,O,'abstract entity',collect,VB,transitive,Y,data,NNS,O,'abstract entity',true
system,NN,O,'abstract entity',within,IN,null,N,them,PRP,O,null,false
system,NN,O,'abstract entity',shall,MD,null,N,able,JJ,O,null,false
system,NN,O,'abstract entity',shall,MD,null,N,able,JJ,O,null,false
system,NN,O,'abstract entity',within,IN,null,N,receipt,NN,O,'abstract entity',false
system,NN,O,'abstract entity',complete,VB,transitive,Y,data,NNS,O,'abstract entity',true
system,NN,O,'abstract entity',complete,VB,transitive,Y,data,NNS,O,'abstract entity',true
system,NN,O,'abstract entity',shall,MD,null,N,able,JJ,O,null,false
system,NN,O,'abstract entity',complete,VB,transitive,Y,data,NNS,O,'abstract entity',true
system,NN,O,'abstract entity',within,IN,null,N,seconds,NNS,DURATION,'abstract entity',false
system,NN,O,'abstract entity',complete,VB,transitive,Y,check,NN,O,'abstract entity',true
system,NN,O,'abstract entity',complete,VB,transitive,Y,data,NNS,O,'abstract entity',true
system,NN,O,'abstract entity',complete,VB,transitive,Y,check,NN,O,'abstract entity',true
system,NN,O,'abstract entity',publish,VB,transitive,Y,data,NNS,O,'abstract entity',false
system,NN,O,'abstract entity',publish,VB,transitive,Y,data,NNS,O,'abstract entity',false
system,NN,O,'abstract entity',shall,MD,null,N,able,JJ,O,null,false
system,NN,O,'abstract entity',within,IN,null,N,receipt,NN,O,'abstract entity',false
system,NN,O,'abstract entity',within,IN,null,N,minutes,NNS,DURATION,'abstract entity',false
system,NN,O,'abstract entity',to,TO,null,N,request,NN,O,'abstract entity',false
system,NN,O,'abstract entity',to,TO,null,N,minute,NN,DURATION,'abstract entity',false
system,NN,O,'abstract entity',to,TO,null,N,minute,NN,DURATION,'abstract entity',false
system,NN,O,'abstract entity',to,TO,null,N,information,NN,O,'abstract entity',false
system,NN,O,'abstract entity',handle,VB,transitive,N,data,NNS,O,'abstract entity',false
system,NN,O,'abstract entity',handle,VB,transitive,N,data,NNS,O,'abstract entity',false
system,NN,O,'abstract entity',shall,MD,null,N,able,JJ,O,null,false
system,NN,O,'abstract entity',handle,VB,transitive,N,data,NNS,O,'abstract entity',false
system,NN,O,'abstract entity',handle,VB,transitive,N,requests,NNS,O,'abstract entity',true
system,NN,O,'abstract entity',handle,VB,transitive,N,requests,NNS,O,'abstract entity',true
system,NN,O,'abstract entity',handle,VB,transitive,N,data,NNS,O,'abstract entity',false
system,NN,O,'abstract entity',support,VB,transitive,N,users,NNS,O,'physical entity',false
system,NN,O,'abstract entity',shall,MD,null,N,able,JJ,O,null,false
system,NN,O,'abstract entity',support,VB,transitive,N,users,NNS,O,'physical entity',false
system,NN,O,'abstract entity',support,VB,transitive,N,users,NNS,O,'physical entity',false
system,NN,O,'abstract entity',shall,MD,null,N,able,JJ,O,null,false
system,NN,O,'abstract entity',support,VB,transitive,N,users,NNS,O,'physical entity',false
system,NN,O,'abstract entity',from,IN,null,N,sources,NNS,O,'physical entity',false
system,NN,O,'abstract entity',from,IN,null,N,sources,NNS,O,'physical entity',false
system,NN,O,'abstract entity',from,IN,null,N,sources,NNS,O,'physical entity',false
system,NN,O,'abstract entity',accept,VB,transitive,Y,data,NNS,O,'abstract entity',true
system,NN,O,'abstract entity',from,IN,null,N,sources,NNS,O,'physical entity',false
sharing,VBG,O,'abstract entity',with,IN,null,N,data,NNS,O,'abstract entity',false
program,NN,O,'abstract entity',establish,VB,transitive,N,data,NNS,O,'abstract entity',true
data,NNS,O,'abstract entity',sharing,VBG,intransitive,N,data,NNS,O,'abstract entity',false
agreements,NNS,O,'abstract entity',with,IN,null,N,data,NNS,O,'abstract entity',false
program,NN,O,'abstract entity',maintain,VB,transitive,N,operations,NNS,O,'abstract entity',true
program,NN,O,'abstract entity',maintain,VB,transitive,N,operations,NNS,O,'abstract entity',true
program,NN,O,'abstract entity',maintain,VB,transitive,N,operations,NNS,O,'abstract entity',true
program,NN,O,'abstract entity',maintain,VB,transitive,N,operations,NNS,O,'abstract entity',true
program,NN,O,'abstract entity',provide,VB,transitive,Y,environment,NN,O,'abstract entity',true
program,NN,O,'abstract entity',provide,VB,transitive,Y,environment,NN,O,'abstract entity',true
program,NN,O,'abstract entity',provide,VB,transitive,Y,tools,NNS,O,'physical entity',true
program,NN,O,'abstract entity',provide,VB,transitive,Y,support,NN,O,'abstract entity',true
program,NN,O,'abstract entity',for,IN,null,N,service,NN,O,'abstract entity',false
program,NN,O,'abstract entity',provide,VB,transitive,Y,staff,NN,O,'abstract entity',false
program,NN,O,'abstract entity',provide,VB,transitive,Y,staff,NN,O,'abstract entity',false
program,NN,O,'abstract entity',define,VB,transitive,Y,methods,NNS,O,'abstract entity',true
program,NN,O,'abstract entity',define,VB,transitive,Y,criteria,NNS,O,'abstract entity',true
program,NN,O,'abstract entity',define,VB,transitive,Y,observations,NNS,O,'abstract entity',true
program,NN,O,'abstract entity',define,VB,transitive,Y,observations,NNS,O,'abstract entity',true
program,NN,O,'abstract entity',define,VB,transitive,Y,rules,NNS,O,'abstract entity',true
program,NN,O,'abstract entity',define,VB,transitive,Y,standards,NNS,O,'abstract entity',true
program,NN,O,'abstract entity',provide,VB,transitive,Y,documentation,NN,O,'abstract entity',true
program,NN,O,'abstract entity',provide,VB,transitive,Y,standards,NNS,O,'abstract entity',true
standards,NNS,O,'abstract entity',accommodate,VB,transitive,Y,system,NN,O,'abstract entity',false
standards,NNS,O,'abstract entity',accommodate,VB,transitive,Y,technologies,NNS,O,'abstract entity',false
standards,NNS,O,'abstract entity',accommodate,VB,transitive,Y,system,NN,O,'abstract entity',false
standards,NNS,O,'abstract entity',accommodate,VB,transitive,Y,system,NN,O,'abstract entity',false
standards,NNS,O,'abstract entity',accommodate,VB,transitive,Y,contributions,NNS,O,'abstract entity',false
standards,NNS,O,'abstract entity',accommodate,VB,transitive,Y,technologies,NNS,O,'abstract entity',false
